cvegeo,ENTIDAD,MUN,LOC,AGEB,POBTOT,TVIVPAR,VIVPAR_HAB,VIVPAR_DES,VIVPAR_UT,vivpar_ut_pct,celdas_reservadas,sin_dato_censal
2300800012415,23,008,0001,2415,2536,1538.0,269.0,1254.0,15.0,0.98,0,False
230080001242A,23,008,0001,242A,83,43.0,21.0,10.0,12.0,27.91,0,False
2300800012434,23,008,0001,2434,0,,,,,,4,True
2300800012449,23,008,0001,2449,0,,,,,,4,True
2300800012453,23,008,0001,2453,1453,523.0,184.0,328.0,11.0,2.1,0,False
2300803081718,23,008,0308,1718,2682,831.0,727.0,91.0,13.0,1.56,0,False
2300803081722,23,008,0308,1722,2528,684.0,577.0,96.0,11.0,1.61,0,False
2300803081737,23,008,0308,1737,3870,1268.0,1081.0,141.0,46.0,3.63,0,False
2300803081741,23,008,0308,1741,882,344.0,254.0,76.0,14.0,4.07,0,False
2300803081756,23,008,0308,1756,2666,1415.0,289.0,278.0,848.0,59.93,0,False
2300803081830,23,008,0308,1830,4426,1331.0,1207.0,102.0,22.0,1.65,0,False
230080308192A,23,008,0308,192A,672,202.0,188.0,9.0,5.0,2.48,0,False
2300803082006,23,008,0308,2006,3243,1044.0,825.0,184.0,35.0,3.35,0,False
2300803082171,23,008,0308,2171,1909,535.0,482.0,47.0,6.0,1.12,0,False
